timestamp,run_id,version,prompt,mode,title,figure_file,looks_correct,feedback
2026-04-16T13:53:11Z,30ce54ea-4ed0-4ccf-ae80-1b4d7dce85d2,6b1e874-dirty,Smooth pursuit of a 20 deg/s ramp target,single,Smooth pursuit of a 20 deg/s rightward ramp target,D:\OneDrive\UC Berkeley\OMlab - JOM\Code\ClaudeOculomotorJax\outputs\server_figures\30ce54ea-4ed0-4ccf-ae80-1b4d7dce85d2.png,True,
2026-04-16T14:12:32Z,45f528fe-6e45-46ad-a695-93c9dcfbed1f,6b1e874-dirty,Healthy 20° saccade to the right,single,Healthy 20° rightward saccade,D:\OneDrive\UC Berkeley\OMlab - JOM\Code\ClaudeOculomotorJax\outputs\server_figures\45f528fe-6e45-46ad-a695-93c9dcfbed1f.png,,
2026-04-16T14:12:51Z,9e3afd8b-e834-4756-b2cf-75d7b34fc67c,6b1e874-dirty,Left vestibular neuritis doing a head impulse test to the right,single,Left vestibular neuritis — rightward vHIT,D:\OneDrive\UC Berkeley\OMlab - JOM\Code\ClaudeOculomotorJax\outputs\server_figures\9e3afd8b-e834-4756-b2cf-75d7b34fc67c.png,,
2026-04-16T16:13:19Z,966c0b89-a5bd-4e3f-9212-368c4fe35e9d,6b1e874-dirty,Compare healthy vs cerebellar deficit vs bilateral vestibular loss on VOR in the dark,comparison,Healthy vs Cerebellar Deficit vs Bilateral Vestibular Loss — VOR in the Dark,D:\OneDrive\UC Berkeley\OMlab - JOM\Code\ClaudeOculomotorJax\outputs\server_figures\966c0b89-a5bd-4e3f-9212-368c4fe35e9d.png,,
2026-04-16T16:36:28Z,0c84eee4-10b4-4421-96ba-e6bfe76a88e5,6b1e874-dirty,"OKN: 30 deg/s full-field scene motion for 20 s, then OKAN",single,"OKN at 30 deg/s for 20 s, then OKAN for 40 s (velocity storage decay)",D:\OneDrive\UC Berkeley\OMlab - JOM\Code\ClaudeOculomotorJax\outputs\server_figures\0c84eee4-10b4-4421-96ba-e6bfe76a88e5.png,,
2026-04-16T16:39:27Z,2ac66f4b-943d-4e99-b01f-448a1c2e40fd,6b1e874-dirty,"Cerebellar gaze-holding deficit, gaze-evoked nystagmus at 15 degrees",single,Cerebellar gaze-evoked nystagmus: eccentric gaze-holding deficit at 15° (short neural integrator TC),D:\OneDrive\UC Berkeley\OMlab - JOM\Code\ClaudeOculomotorJax\outputs\server_figures\2ac66f4b-943d-4e99-b01f-448a1c2e40fd.png,,
2026-04-16T16:40:04Z,dfb40322-e19e-458f-9d4b-d32c0e372ff8,6b1e874-dirty,"Cerebellar gaze-holding deficit, gaze-evoked nystagmus at 15 degrees, low pursuit gain",single,Cerebellar deficit: gaze-evoked nystagmus at 15° eccentric gaze with low pursuit gain,D:\OneDrive\UC Berkeley\OMlab - JOM\Code\ClaudeOculomotorJax\outputs\server_figures\dfb40322-e19e-458f-9d4b-d32c0e372ff8.png,,
2026-04-16T17:24:30Z,cb5eb0c8-971f-48aa-8c2a-b836ab58406a,bb14a67-dirty,make the coolest eye movement simulation,single,Epic oculomotor showcase: vHIT impulse → smooth pursuit → memory-guided saccades → OKN drum + OKAN,D:\OneDrive\UC Berkeley\OMlab - JOM\Code\ClaudeOculomotorJax\outputs\server_figures\cb5eb0c8-971f-48aa-8c2a-b836ab58406a.png,,
2026-04-16T17:26:19Z,7d0a889e-b023-4204-8d79-ff77d0f8d6fc,bb14a67-dirty,show how a vor doesnt work in patient,comparison,Healthy vs Left Vestibular Neuritis — vHIT (Leftward Head Impulse),D:\OneDrive\UC Berkeley\OMlab - JOM\Code\ClaudeOculomotorJax\outputs\server_figures\7d0a889e-b023-4204-8d79-ff77d0f8d6fc.png,,
2026-04-16T18:29:31Z,222f5451-5d8c-4194-ae9a-4cf5eec407ae,bb14a67-dirty,"Cerebellar gaze-holding deficit, gaze-evoked nystagmus at 15 degrees",single,Cerebellar gaze-evoked nystagmus: gaze held at 15° with short neural integrator TC,D:\OneDrive\UC Berkeley\OMlab - JOM\Code\ClaudeOculomotorJax\outputs\server_figures\222f5451-5d8c-4194-ae9a-4cf5eec407ae.png,,
